Patch1,Patch2,Patch3,Patch4,Patch5,Patch6,Patch7,Patch8,Patch9,Patch10,Patch11,Patch12,Patch13,Patch14,Patch15,Patch16,Patch17,Patch18,Patch19,Patch20,Patch21,Patch22,Patch23,Patch24
2.726362999999999914e+01,7.703638999999999726e+01,8.484825999999999624e+01,2.752222000000000079e+01,9.375160999999999945e+01,7.888012000000000512e+01,2.214959999999999951e+01,8.209005000000000507e+01,5.855304000000000286e+01,6.136840999999999724e+01,3.258048000000000144e+01,3.294001000000000090e+01,3.971846000000000032e+01,2.417354999999999876e+01,2.302997999999999834e+01,2.500691000000000130e+01,8.175817999999999586e+01,6.260555000000000092e+01,9.714591000000000065e+01,9.492052999999999940e+01,8.117188000000000159e+01,6.254840000000000089e+01,3.690677999999999770e+01,1.573159000000000063e+01
2.537603999999999971e+01,7.514547000000000310e+01,8.378972000000000264e+01,2.668399000000000143e+01,9.291356000000000392e+01,7.791566000000000258e+01,1.971535000000000082e+01,8.138006000000000029e+01,5.609624999999999773e+01,5.995136999999999716e+01,3.210781999999999670e+01,3.026326999999999856e+01,3.846399000000000257e+01,2.346398999999999901e+01,2.081034999999999968e+01,2.258656999999999826e+01,8.184454999999999814e+01,6.117716000000000065e+01,9.716441000000000372e+01,9.389955999999999392e+01,8.017942999999999643e+01,6.148234999999999673e+01,3.512870000000000203e+01,1.458161999999999914e+01
2.364151999999999987e+01,7.390533000000000641e+01,8.315089000000000397e+01,2.443105999999999867e+01,9.130177999999999372e+01,7.486657999999999902e+01,1.859610999999999947e+01,7.938777000000000328e+01,5.213779000000000252e+01,5.760354999999999848e+01,2.775108000000000175e+01,2.839847999999999928e+01,3.696706999999999965e+01,2.189073000000000135e+01,1.921243000000000123e+01,2.199571999999999861e+01,8.022468999999999539e+01,5.883165000000000333e+01,9.775607999999999720e+01,9.298623999999999512e+01,7.928163999999999589e+01,5.878768000000000171e+01,3.321607999999999805e+01,1.343698999999999977e+01
2.253155999999999892e+01,7.179523000000000366e+01,8.240954000000000690e+01,2.309957999999999956e+01,9.182748999999999739e+01,7.493126999999999782e+01,1.782609000000000066e+01,7.914306000000000552e+01,5.076998999999999995e+01,5.623702999999999719e+01,2.677419000000000082e+01,2.655539999999999878e+01,3.630154000000000281e+01,2.047511000000000081e+01,1.799229000000000056e+01,2.076788000000000167e+01,8.092286000000000001e+01,5.869424999999999670e+01,9.983450000000000557e+01,9.503506000000000142e+01,7.953576999999999941e+01,5.776156999999999897e+01,3.204207999999999856e+01,1.280610000000000070e+01
2.107103999999999999e+01,6.943916000000000111e+01,8.015588999999999942e+01,2.152486999999999995e+01,8.969710999999999501e+01,7.243886999999999432e+01,1.609287000000000134e+01,7.664458000000000482e+01,4.830147000000000190e+01,5.398228000000000293e+01,2.480322999999999922e+01,2.494478000000000151e+01,3.451393000000000200e+01,1.831632000000000104e+01,1.632454999999999856e+01,1.805988999999999933e+01,7.831645000000000323e+01,5.667732999999999777e+01,1.004240000000000066e+02,9.311956000000000699e+01,7.756493000000000393e+01,5.534313000000000216e+01,3.010067000000000093e+01,1.190049999999999919e+01
1.960117999999999938e+01,6.675875999999999522e+01,7.839096000000000686e+01,2.052859000000000123e+01,8.821992000000000189e+01,7.093497000000000696e+01,1.481537999999999933e+01,7.438783999999999708e+01,4.624334999999999951e+01,5.134239999999999782e+01,2.400037000000000020e+01,2.282189999999999941e+01,3.324812000000000012e+01,1.773058999999999941e+01,1.568060000000000009e+01,1.697399000000000058e+01,7.682043000000000177e+01,5.474367000000000161e+01,9.857621000000000322e+01,9.253943999999999903e+01,7.586436000000000490e+01,5.348725000000000307e+01,2.831299999999999883e+01,1.099424999999999919e+01
1.873482999999999876e+01,6.490461000000000524e+01,7.748305999999999472e+01,1.919138999999999839e+01,8.829805000000000348e+01,7.002343000000000472e+01,1.438555999999999990e+01,7.337042999999999893e+01,4.412601000000000084e+01,5.021023000000000280e+01,2.186636999999999986e+01,2.193017000000000039e+01,3.237438000000000216e+01,1.637781000000000020e+01,1.509393000000000029e+01,1.673448000000000135e+01,7.703539000000000669e+01,5.360952999999999946e+01,9.932433000000000334e+01,9.311355000000000359e+01,7.527822000000000457e+01,5.167768000000000228e+01,2.716874999999999929e+01,1.044943999999999917e+01
1.706689000000000078e+01,6.194924999999999926e+01,7.459687999999999874e+01,1.782285999999999859e+01,8.589345000000000141e+01,6.711030999999999835e+01,1.290564000000000000e+01,7.059489999999999554e+01,4.142199000000000098e+01,4.753922000000000025e+01,2.036135000000000161e+01,2.085040000000000049e+01,3.074884000000000128e+01,1.574325999999999937e+01,1.337823000000000029e+01,1.570213000000000036e+01,7.474679000000000428e+01,5.134282999999999930e+01,9.767816000000000543e+01,9.118614999999999782e+01,7.340121999999999503e+01,4.919467000000000212e+01,2.518601999999999919e+01,9.622151999999999816e+00
1.577379999999999960e+01,5.807007000000000119e+01,7.108911000000000513e+01,1.627074999999999960e+01,8.313786000000000342e+01,6.416755999999999460e+01,1.190936999999999912e+01,6.690022999999999342e+01,3.842878999999999934e+01,4.453922000000000025e+01,1.871857999999999933e+01,1.898553000000000068e+01,2.888576000000000121e+01,1.413709000000000060e+01,1.192669000000000068e+01,1.395925000000000082e+01,7.178521999999999537e+01,4.859863000000000000e+01,9.700075999999999965e+01,9.021630000000000393e+01,6.974258000000000379e+01,4.588423999999999836e+01,2.315537000000000134e+01,8.755713000000000079e+00
1.457126000000000055e+01,5.502824999999999989e+01,6.865072999999999581e+01,1.503473999999999933e+01,8.161844999999999573e+01,6.234085999999999927e+01,1.091555999999999926e+01,6.446880000000000166e+01,3.535417000000000343e+01,4.219268999999999892e+01,1.711235999999999891e+01,1.759009000000000000e+01,2.772206999999999866e+01,1.285313999999999979e+01,1.127598000000000056e+01,1.230691000000000024e+01,7.016635999999999740e+01,4.643524000000000029e+01,9.834856999999999516e+01,8.894440000000000168e+01,6.736547000000000196e+01,4.337731000000000137e+01,2.151222999999999885e+01,8.072696000000000538e+00
